,author,text,like_count,published_at,updated_at
74,Hehe Haha,"@Thang Le Sao phí, nói rõ đi ?",0,2021-11-02T06:47:30Z,2021-11-02T06:47:30Z
75,Luann Duy,27đ muốn ổn thì vào trường này nha em anh đang học thấy ổn lắm,0,2021-08-04T15:49:25Z,2021-08-04T15:49:25Z
76,Thang Le,27 điểm thì bạn nên chọn 1 trường khác để học nha.Vào đây hơi phí đấy,0,2021-08-01T03:03:33Z,2021-08-01T03:03:33Z
77,SuperTeo,Chúc em đậu nha!,0,2021-07-28T04:28:08Z,2021-07-28T04:28:08Z
78,toàn ngô văn,Đây ở quận 1 hả ad,0,2021-07-27T04:37:13Z,2021-07-27T04:37:13Z
79,Taitamu Production,review gia định đi ad,0,2021-07-26T17:34:13Z,2021-07-26T17:34:13Z
80,Duy Nguyễn,Anh ơi review trường công nghiệp hà nội . UTC nữa về học phí các thứ nũa anh,1,2021-07-26T04:20:32Z,2021-07-26T04:20:32Z
81,Lil Lang 14,A cho em hỏi là ngành an toàn thông tin của Ptit phía nam chỉ tiêu 45 SV vậy cơ hội để vào có cao k ạ? Em cảm ơn.,0,2021-07-25T08:10:24Z,2021-07-25T08:10:24Z
82,20 04 41 Bảo Yến,review về Huflit đi anh,1,2021-07-24T15:52:08Z,2021-07-24T15:52:08Z
83,SuperTeo,"Em bấm vô kênh ad xem nha, có video review Huflit rồi nè",0,2021-07-25T01:48:25Z,2021-07-25T01:48:25Z
84,Tay Dau,Review về HIU đi ad ơi😘,1,2021-07-24T13:33:33Z,2021-07-24T13:33:33Z
85,Tiến Đạt Lê,Anh làm về học viện kỹ thuật mật mã cơ sơ phía nam đi ạ,10,2021-07-24T09:50:06Z,2021-07-24T09:51:13Z
86,Minh Thuận Huỳnh,Học viện kỹ thuật mật mã cơ sở phía nam đi anh!,5,2021-07-23T14:16:35Z,2021-07-23T14:16:35Z
87,Puu Rizz,Anh ơi làm về Đh công nghệ Sài Gòn được không ạ,0,2021-07-23T10:35:09Z,2021-07-23T10:35:09Z
88,Minh Trương,Review ngành luật đi anh,0,2021-07-23T10:19:44Z,2021-07-23T10:19:44Z
89,Hồ Huy,review về trường đại học công nghệ sài gòn stu đi anh,0,2021-07-23T08:23:40Z,2021-07-23T08:23:40Z
90,Hồ Huy,@Puu Rizz tui chỉ đang tìm hiểu về trường th ông,0,2021-07-23T13:17:37Z,2021-07-23T13:17:37Z
91,Puu Rizz,@Hồ Huy ơ tui cx cntt này ông vừa xét học bạ đậu,0,2021-07-23T12:09:16Z,2021-07-23T12:09:16Z
92,Hồ Huy,@Puu Rizz cntt ông,0,2021-07-23T12:04:16Z,2021-07-23T12:04:16Z
93,Puu Rizz,Ông tính học ngành nào v?,0,2021-07-23T10:36:24Z,2021-07-23T10:36:24Z
94,Vinh Nguyễn,Năm sau 575k 1 tín thì là supper royal luôn rồi :),1,2021-07-23T07:14:08Z,2021-07-23T07:14:08Z
